fullname,nickname,year,make,model,specialAccess,dlcPack,rewardOrGift,directAccess,carValue,rarity,feBoost,carType,spec,class,pi,speed,handling,acceleration,launch,braking,offroad,hp,torque,weight,weightPerHp,weightDistribution,displ,aspiration,engineType,cylinders,enginePlacement,drive,rTireWidth,trackWidth,aeroorkitOptions,engineConversions(hp),pirwd,piawd,aspirationOptions,naturallyAspirated,region,country,modelFamily,openTop,doors,steering,wheels,nolights,carThemes,zeroToSixty,zeroToHundred,quarterMile,topSpeed,sixtyToZeroFeet,hundredToZeroFeet,gAtSixty,gAtHundred,sixtyToHundred,forzaDebut,unknown,latestgame,newtoForza,fh5,fh4,fm7,fh3,fm6,fh2,fm5,fh1,fm4,fm3,fm2,fm1,titlesCount,xboxgen
1962 Peel P50,Peel P50,1962,Peel,P50,Seasonal,Series 2 cu,S2 Santa,,250000,Legendary,,Cult Cars,Factory,D,100,1.2,3,1,2.3,3.9,4.5,4,6,310,77.5,50,48,NA,Single,1,M,RWD,90,no,Forza,196,,,none,stock,Europe,U.K.,,,1,C,3,,"DvG, mm",na,na,,38,na,na,0.56,0.55,na,9/28/2018,11,FH5,FH4,cu,Barn,,,,,,,,,,,2,XBO
2011 Penhall The Cholla,Penhall Cholla,2011,Penhall,The Cholla,Autoshow,,,,100000,Rare,,Unlimited Buggies,Factory,B,655,4.1,3.7,5.7,4.8,4.3,10,196,190,2223,11.34,45,2384,NA,Inline,4,R,RWD,265,no,Forza,300,,,none,stock,N. America,U.S.,,,2,L,4,,"AWW, ?WW",5.8,20.977,14.1,114.1,160.8,394.2,0.85,0.84,15.177,9/27/2016,9,FH5,FH3,FH5,FH4,FM7,FH3,,,,,,,,,4,XBO
2011 Peugeot 107,,2011,Peugeot,107,,,,,,,,City,Factory,F,102,,,,,,,68,70,1742,25.62,,,,,3,F,FWD,,,,,,,,,Europe,France,,,3,L,4,,,14.2,,,96.4,,,,,,5/13/2011,4,FM4,FM4,,,,,,,,,FM4,,,,1,360
2011 Peugeot #10 Matmut-Oreca 908,#10 Peugeot 908,2011,Peugeot,#10 Matmut-Oreca 908,,,,,,,,Forza P1,Race,P,998,7.9,8.8,9.7,,8.7,,700,885,2039,2.91,40,,TT,V,12,M,RWD,370,,,none,,,none,no,Europe,France,,,2,R,4,,,2.7,5.6,10.5,212.1,87.8,197.7,1.7,2.36,2.9,5/13/2011,4,FM7,FM4,,,FM7,,FM6,,,,FM4,,,,3,XBO
2011 Peugeot 308 GTI,Peugeot 308 GTI,2011,Peugeot,308 GTI,,,,,,,,Modern Hot Hatch,Factory,D,303,5.5,4.1,6.1,,3.8,,197,203,3113,15.8,64,,T,Inline,4,F,FWD,225,,,"332, 375",,,none,eng,Europe,France,,,5,L,4,,,7.7,20.8,15.35,146.2,147.2,345.5,1.03,0.93,13.1,5/13/2011,4,FM7,FM4,,,FM7,,FM6,,FM5,,FM4,,,,4,XBO
2010 Peugeot RCZ,,2010,Peugeot,RCZ,,,,,,,,Sports,Factory,C,370,,,,,,,198,203,2875,14.52,62,1600,,,4,F,FWD,235,,,,,,,,Europe,France,,,2,L,4,,,7.6,18.017,,147.9,,,,,10.417,,3,FM4,FM3,,,,,,,,,FM4,DLC,,,2,360
2009 Peugeot #9 Peugeot Sport Total 908,#9 Peugeot 908,2009,Peugeot,#9 Peugeot Sport Total 908,,,,,,,,Forza P1,Race,P,998,7.9,8.8,9.7,,8.7,,700,885,2039,2.91,40,,TT,V,12,M,RWD,370,,,none,,,none,no,Europe,France,,,2,R,4,,,2.7,5.6,10.5,212.5,87.5,199.3,1.7,2.36,2.9,5/27/2009,3,FM7,FM3,,,FM7,,FM6,,FM5,,FM4,FM3,,,5,XBO
2007 Peugeot #1 Peugeot 207 Super 2000,,2007,Peugeot,#1 Peugeot 207 Super 2000,,,,,,,,Hatch,Livery,A,537,,,,,,,280,,2425,8.66,,,,,4,F,AWD,,,,,,,,,Europe,France,,,3,L,4,,,,,,,,,,,,,2,FM3,FM2,,,,,,,,,,FM3,DLC,,2,360
2007 Peugeot #8 Peugeot Sport 908,,2007,Peugeot,#8 Peugeot Sport 908,DLC store,,,,,,,P1 Racing,Livery,R1,997,,,,,,,700,885,2039,2.91,,,,,12,M,RWD,,,,,,,,,Europe,France,,,2,R,4,,,,,,,,,,,,,2,FM3,FM2,,,,,,,,,,FM3,DLC,,2,360
2007 Peugeot 207 RC,,2007,Peugeot,207 RC,,,,,,,,Hatch,Factory,D,332,,,,,,,172,177,2921,16.98,,,,,4,F,FWD,,,,,,,,,Europe,France,,,3,L,4,,,7.1,,,140.1,,,,,,5/29/2007,2,FM4,FM2,,,,,,,,,FM4,FM3,FM2,,3,360
2007 Peugeot 207 Super 2000,Peugeot 207 S,2007,Peugeot,207 Super 2000,Autoshow,,Accolade,,150000,Rare,,Rally Monsters,Race,A,755,5.3,6.2,5.9,5.2,5.7,8,280,184,2425,8.66,58,1998,NA,Inline,4,F,AWD,225,Both,Adjustable,300,,,T,stock,Europe,France,,,3,L,4,,,5.6,16.2,,150.3,98.3,234.4,1.17,1.29,10.6,5/29/2007,2,FH5,FM2,FH5,cu,,,,,,,FM4,FM3,FM2,,5,XBO
2004 Peugeot 206 Gti 180,,2004,Peugeot,206 Gti 180,,,,,,,,,Factory,D1,,,,,,,,,,,#DIV/0!,,,,,,F,FWD,,,,,,,,,Europe,France,,,3,L,4,,,,,,,,,,,0,5/3/2005,1,FM1,FM1,,,,,,,,,,,,FM1,1,360
2004 Peugeot 206 RC,,2004,Peugeot,206 RC,,,,,,,,Hatch,Factory,C,316,,,,,,,174,149,2425,13.94,,,,,4,F,FWD,,,,,,,,,Europe,France,,,3,L,4,,,,,,,,,,,,5/29/2007,2,FH1,FM2,,,,,,,,DLC,FM4,FM3,FM2,,4,360
1993 Peugeot #3 Peugeot Talbot Sport 905 EVO 1C,#3 Peugeot 905C,1993,Peugeot,#3 Peugeot Talbot Sport 905 EVO 1C,,,,,,,,Early Prototype Racers,Race,X,999,7.8,9.2,9.6,,9.1,,641,359,1653,2.58,47,,NA,V,10,M,RWD,360,,,none,,,none,stock,Europe,France,,Yes,2,R,4,,,2.9,5.8,10.8,210.4,87.2,192.6,1.77,2.59,2.9,5/29/2007,2,FM7,FM2,,,FM7,,FM6,,,,FM4,FM3,FM2,,5,XBO
1991 Peugeot 205 Rallye,Peugeot 205 R,1991,Peugeot,205 Rallye,Autoshow,,,,20000,Rare,,Retro Hot Hatch,Factory,D,462,4.3,4.4,2.9,3.8,2.5,4.9,99,87,1742,17.6,65,1294,NA,Inline,4,F,FWD,165,Both,Rally lights,"300, 200",,,T,stock,Europe,France,,,3,L,4,,,9.6,25,,120.7,153,378.5,0.95,0.95,15.4,5/4/2020,11,FH5,FH4,FH5,cu,,,,,,,,,,,2,XBO
1984 Peugeot 205 Turbo 16,Peugeot 205 T16,1984,Peugeot,205 Turbo 16,"Accolade, WS",,Accolade,,200000,Legendary,,Retro Rally,Factory,B,616,5,5,4.4,1.6,3.6,7.2,200,188,2524,12.62,45,1775,T,Inline,4,M,AWD,215,no,Preset Rally Climb,300,,,none,no,Europe,France,,,3,L,4,,"AWW, ?WW, HHero",5.783,15.4,13.6,138.6,163.4,408.8,0.83,0.84,9.617,,4,FH5,FM4,FH5,FH4,FM7,FH3,FM6,,DLC,FH1,DLC,,,,8,XBO
1984 Peugeot 205 Turbo 16 Forza Edition,Peugeot 205 FE,1984,Peugeot,205 Turbo 16 Forza Edition,Exclusive,,,,450000,FE,Skills,Rally Monsters,Upgraded,A,703,5.8,7.1,6.3,6.9,7,,200,188,2315,11.58,45,1775,T,Inline,4,M,AWD,215,no,Preset Rally Climb,300,710,703,none,no,Europe,France,,,3,L,4,,"WW, HOM",5.8,15.4,,138.7,160.2,379.7,0.95,1.02,9.6,9/28/2018,11,FH4,FH4,,FE,,,,,,,,,,,1,XBO
2000 Plymouth Prowler,Plymouth Prowler,2000,Plymouth,Prowler,,,,,,,,Forza Specials,Factory,C,420,5.5,4.8,6.9,7.3,4.6,,253,255,2838,11.22,45,3518,NA,V,6,F,RWD,295,,,"415, 425, 825",,,"TT, PDS",stock,N. America,U.S.,,Yes,2,L,4,,,5.897,14.898,14.472,144.3,126.2,314.1,1.12,1.08,9.001,,8,FM7,FM6,,,FM7,FH3,DLC,,,,,,,,3,XBO
1971 Plymouth Cuda 426 Hemi,Plymouth Cuda,1971,Plymouth,Cuda 426 Hemi,Autoshow,,,,160000,Epic,,Classic Muscle,Factory,C,547,5.6,3.7,3.4,3.3,2.4,5.3,425,490,3880,9.13,58,6974,NA,V,8,F,RWD,225,Yes,Preset / hood,"415, 640, 700",,,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,MvT,5.613,12.8,13.41,155.6,208.4,503,0.74,0.73,7.187,,3,FH5,FM3,FH5,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,DLC,,,10,XBO
1971 Plymouth GTX 426 Hemi,Plymouth GTX,1971,Plymouth,GTX 426 Hemi,,,,,,,,Classic Street Muscle,Factory,D,369,6.1,3.8,7.4,,3.6,,425,490,3670,8.64,54,,NA,V,8,F,RWD,215,,,"415, 707, 825",,,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,5.761,13.081,13.433,166.4,133.6,346.8,0.97,0.91,7.32,,4,FM7,FM4,,,FM7,,FM6,DLC,,,DLC,,,,4,XBO
1971 Plymouth GTX F&F Edition,Plymouth GTX FF,1971,Plymouth,GTX F&F Edition,,,,,,,,Fast & Furious,Tuner,S,784,10,5.3,8.9,,5.3,,2000,1615,3800,1.9,51,,TT,V,8,F,RWD,325,,,none,,,none,no,N. America,U.S.,,,2,L,4,,,2.9,4.9,10.167,269.2,132.3,336.2,1.19,1.16,2,9/25/2017,10,FM7,FM7,,,DLC,,,,,,,,,,1,XBO
1970 Plymouth Cuda F&F Edition,,1970,Plymouth,Cuda F&F Edition,,,,,,,,[custom],Tuner,A,800,7.4,6.8,8.3,,,,717,656,3880,5.41,58,6974,,,,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,4.2,,,197,,,,,,,7,FH2,FH2,,,,,,DLC,,,,,,,1,XBO
1970 Plymouth Hemi Cuda Convertible Barrett-Jackson Edition,Hemi 'Cuda BJ,1970,Plymouth,Hemi Cuda Convertible Barrett-Jackson Edition,DLC store,,,,55000,Rare,,Classic Muscle,Factory,B,689,6.4,5.6,5.7,7.2,5.2,,425,490,3965,9.33,57,6974,NA,V,8,F,RWD,225,Both,Hood,"415, 640, 700",689,702,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,5.8,13.2,13.7,156.5,193.7,452.7,0.83,0.83,7.4,,10,FH4,FM7,,DLC,DLC,,,,,,,,,,2,XBO
1970 Plymouth Road Runner F&F Edition,,1970,Plymouth,Road Runner F&F Edition,,,,,,,,[custom],Tuner,A,800,6.7,6.9,8.3,,,,670,600,3750,5.6,58,7206,,,,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,4.3,,,179.5,,,,,,,7,FH2,FH2,,,,,,DLC,,,,,,,1,XBO
1968 Plymouth Barracuda Formula-S,,1968,Plymouth,Barracuda Formula-S,,,,,,,,Sports,Factory,D,283,,,,,,,338,395,3470,10.27,,,,,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,7,,,145.5,,,,,,5/29/2007,2,FM4,FM2,,,,,,,,,FM4,FM3,FM2,,3,360
1959 Plymouth Atomic Punk Bubbletop,Atomic Punk '59,1959,Plymouth,Atomic Punk Bubbletop,DLC store,,,,105000,Epic,,Rods and Customs,Tuner,A,717,7.1,5.8,6.2,7.4,4.9,,450,501,2700,6,51,6424,NA,V,8,F,RWD,305,no,Forza,"415, 485, 850",717,730,none,eng,N. America,U.S.,,,1,L,4,,,4.2,8.9,11.783,178.7,175.6,436.7,0.85,0.84,4.7,,10,FH4,FM7,,DLC,DLC,,,,,,,,,,2,XBO
1958 Plymouth Fury,Plymouth Fury,1958,Plymouth,Fury,Exclusive,,,,250000,Legendary,,Rods and Customs,Factory,C,518,6.1,4.5,5.1,6.5,4.4,,305,370,3595,11.79,57,5734,NA,V,8,F,RWD,225,Both,Hood,"415, 640, 700",518,538,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,IMC,7,15.6,16,143.9,206.1,494.4,0.75,0.74,8.6,,8,FH4,FM6,,cu,FM7,FH3,DLC,,,,,,,,4,XBO
2015 Polaris RZR XP 1000 EPS,RZR 1000,2015,Polaris,RZR XP 1000 EPS,Autoshow,,,,25000,Common,,UTV's,Factory,C,501,3.4,3.5,3.8,3.8,4.4,9,110,70,1530,13.91,45,999,NA,Inline,2,R,AWD,280,no,none,"196, 300",,,T,stock,N. America,U.S.,,,2,L,4,,RPC,7.5,na,15.533,98.7,158.5,na,0.88,0.88,na,9/27/2016,9,FH5,FH3,FH5,FH4,FM7,FH3,,,,,,,,,4,XBO
2015 Polaris RZR XP 1000 EPS Horizon Edition,,2015,Polaris,RZR XP 1000 EPS Horizon Edition,,,,,,,,Offroad Buggies,Upgraded,C,524,3.5,6.1,6.6,7.1,6.3,,110,70,1530,13.91,45,999,NA,,,R,AWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,,,,,,,,,,0,9/27/2016,9,FH3,FH3,,,,HE,,,,,,,,,1,XBO
2015 Polaris RZR XP 1000 EPS Rockstar Edition,,2015,Polaris,RZR XP 1000 EPS Rockstar Edition,,,,,,,,Offroad Buggies,Livery,C,520,3.5,6.1,6.5,7,6.3,,110,70,1530,13.91,45,999,NA,,,R,AWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,RPC,7.639,999.999,,98.5,192,na,0.75,0.73,992.36,9/27/2016,9,FH3,FH3,,,,FH3,,,,,,,,,1,XBO
2009 Pontiac G8 GXP,Pontiac G8 GXP,2009,Pontiac,G8 GXP,,,,,,,,Sport Touring Icons,Factory,C,482,6.6,4.5,7.7,,4.5,,415,415,4023,9.69,53,,NA,V,8,F,RWD,245,,,825,,,"TT, PDS, CS",stock,N. America,U.S.,,,2,L,4,,,4.7,11.1,13.083,175.3,147.5,359,1.07,1.04,6.4,5/27/2009,3,FM7,FM3,,,FM7,,,,,,FM4,FM3,,,3,XBO
2009 Pontiac Solstice GXP,Pontiac Solstice,2009,Pontiac,Solstice GXP,,,,,,,,Sport Coupe,Factory,C,429,5.7,4.7,6.9,,4.5,,260,260,3018,11.61,50,,T,Inline,4,F,RWD,245,,,"332, 415",,,none,eng,N. America,U.S.,,,2,L,4,,,5.2,13.083,13.683,153.7,126.8,320.6,1.11,1.06,7.883,5/13/2011,4,FM7,FM4,,,FM7,,FM6,,DLC,,FM4,,,,4,XBO
2006 Pontiac GTO,,2006,Pontiac,GTO,,,,,,,,Sports,Factory,B,440,,,,,,,400,400,3878,9.7,,,,,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,4.8,,,180.1,,,,,,5/13/2011,4,FM4,FM4,,,,,,,,,FM4,,,,1,360
2006 Pontiac Solstice,,2006,Pontiac,Solstice,,,,,,,,Roadster,Factory,E,252,,,,,,,177,165,2859,16.15,,,,,4,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,7.4,21.534,,,,,,,,5/29/2007,2,FM3,FM2,,,,,,,,,,FM3,FM2,,2,360
2005 Pontiac Aztek,Pontiac Aztek,2005,Pontiac,Aztek,,,,,,,,? none/Utility,Factory,,,4.3,3.1,5.3,,3.1,,185,210,3923,21.21,60,,NA,V,6,F,FWD,,,,,,,,stock,N. America,U.S.,,,5,L,4,,,10.8,32.818,,115,115.5,324.9,0.91,0.77,22.018,,8,FM6,FM6,,,,,DLC,,,,,,,,1,XBO
2004 Pontiac GTO,,2004,Pontiac,GTO,,,,,,,,Coupe,Factory,D,340,,,,,,,350,365,3780,10.8,,,,,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,5.4,13.032,,,,,,,,5/3/2005,1,FM3,FM1,,,,,,,,,,FM3,FM2,FM1,3,360
2002 Pontiac Firebird Trans Am Ram Air,Pontiac T/A '02,2002,Pontiac,Firebird Trans Am Ram Air,,,,,,,,Sport Touring Icons,Factory,C,425,6.3,4.6,7.2,,4.3,,325,350,3495,10.75,58,,NA,V,8,F,RWD,275,,,"415, 425, 825",,,"TT, PDS, CS",stock,N. America,U.S.,Firebird,,2,L,4,,,5.2,12.5,13.4,168.1,136.6,342.1,1.08,1.05,7.3,5/27/2009,3,FM7,FM3,,,FM7,,FM6,,DLC,,FM4,FM3,,,5,XBO
1988 Pontiac Fiero GT,,1988,Pontiac,Fiero GT,,,,,,,,Sports,Factory,E,233,,,,,,,135,165,2790,20.67,,,,,6,M,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,7.983,,,129.4,,,,,,12/6/2011,4,FM4,FM4,,,,,,,,,DLC,,,,1,360
1987 Pontiac Firebird Trans Am GTA,Pontiac T/A '87,1987,Pontiac,Firebird Trans Am GTA,Autoshow,,,,25000,Common,,Retro Muscle,Factory,D,485,5.5,4.1,3.4,3.1,2.4,4.8,210,315,3483,16.59,57,5733,NA,V,8,F,RWD,245,no,Hood,"415, 475, 640, 800",,,"TT, PDS, CS",stock,N. America,U.S.,Firebird,,2,L,4,,"RPC, IMC",7.1,18.7,15.517,149,198.9,487.4,0.79,0.78,11.6,5/27/2009,3,FH5,FM3,FH5,FH4,FM7,FH3,FM6,FH2,DLC,,FM4,FM3,,,9,XBO
1987 Pontiac Firebird Trans Am GTA Forza Edition,Pontiac T/A FE,1987,Pontiac,Firebird Trans Am GTA Forza Edition,"WS, Seasonal",,,,500000,FE,Drift Skills,Track Toys,Upgraded,S1,900,6.9,7.1,5.5,5.8,6.3,3.4,850,590,3219,12.54,57,5870,,,,F,RWD,315,no,none,none,,,"TT, PDS",,N. America,U.S.,,,2,L,4,,,7.045,,18.614,191.9,124.5,292.9,1.3,1.5,na,10/3/2017,10,FH5,FM7,FH5,,FE,,,,,,,,,,2,XBO
1977 Pontiac Firebird Trans Am,Pontiac T/A '77,1977,Pontiac,Firebird Trans Am,Autoshow,,,,45000,Rare,,Classic Muscle,Factory,D,418,5.1,3.9,3.1,2,2.1,5.7,201,325,3800,18.91,58,6600,NA,V,8,F,RWD,225,Yes,Hood,"415, 475, 640, 800",,,"TT, PDS",stock,N. America,U.S.,Firebird,,2,L,4,,IMC,7.9,22,16.082,136.9,207.4,503.9,0.74,0.73,14.1,5/13/2011,4,FH5,FM4,FH5,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,,,,9,XBO
1973 Pontiac Firebird Trans Am SD-455,Pontiac T/A '73,1973,Pontiac,Firebird Trans Am SD-455,Exclusive,,,,61000,Common,,Classic Muscle,Factory,C,536,6.3,4.7,5.1,6.5,4.4,,372,480,3695,9.93,58,7456,NA,V,8,F,RWD,215,Yes,Preset / hood,"415, 640, 700",536,561,PDS,stock,N. America,U.S.,Firebird,,2,L,4,,MvT,5.4,12.787,13.784,152.6,207.7,504.2,0.74,0.74,7.387,,2,FH4,FM2,,FH4,FM7,FH3,FM6,FH2,FM5,,FM4,FM3,DLC,,9,XBO
1969 Pontiac Firebird Trans Am,Pontiac T/A '69,1969,Pontiac,Firebird Trans Am,,,,,,,,Historic Road Racing,Factory,D,350,5.3,3.9,7.3,,3.6,,345,430,3306,9.58,58,,NA,V,8,F,RWD,215,,,"415, 825",,,"TT, PDS",stock,N. America,U.S.,Firebird,,2,L,4,,,5.184,14,14.2,143.6,140,355.9,0.98,0.92,8.816,5/13/2011,4,FM7,FM4,,,FM7,,FM6,,FM5,,FM4,,,,4,XBO
1969 Pontiac GTO Judge,Pontiac GTO '69,1969,Pontiac,GTO Judge,,,,,90000,Rare,,Classic Muscle,Factory,C,514,5.8,4.4,5,6.3,4.3,,365,445,3623,9.93,58,6548,NA,V,8,F,RWD,225,Yes,Hood,"415, 640, 700",514,545,PDS,stock,N. America,U.S.,GTO,,2,L,4,,MvT,6.186,13.95,14.05,135.4,210,504.3,0.73,0.72,7.764,5/13/2011,4,FH4,FM4,,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,,,,8,XBO
1968 Pontiac Firebird,Firebird '68,1968,Pontiac,Firebird,Exclusive,,,,250000,Epic,,Classic Muscle,Factory,C,509,5.9,4.4,5,6.2,4.3,,343,430,3401,9.92,58,6555,NA,V,8,F,RWD,215,Both,Hood,"415, 640",509,539,"TT, PDS",stock,N. America,U.S.,Firebird,,2,L,4,,,5.5,14.1,,140.2,210.3,508.4,0.73,0.72,8.6,,4,FH4,FM4,,cu,,,,,,,DLC,,,,2,XBO
1968 Pontiac GTO Hardtop,,1968,Pontiac,GTO Hardtop,,,,,,,,Coupe,Factory,E,222,,,,,,,360,445,3645,10.13,,,,,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,6.5,15.047,,,,,,,,5/3/2005,1,FM3,FM1,,,,,,,,,,FM3,FM2,FM1,3,360
1965 Pontiac GTO,Pontiac GTO '65,1965,Pontiac,GTO,Autoshow,,,,48000,Common,,Classic Muscle,Factory,D,484,4.7,3.2,3.1,2.9,2,5.4,360,424,3468,9.63,58,6372,NA,V,8,F,RWD,195,Rear,Hood,"415, 475, 640, 800, 1500",,,"TT, PDS",stock,N. America,U.S.,GTO,,2,L,4,,,5.74,13.28,14.5,128.8,212.9,515.1,0.71,0.7,7.54,,4,FH5,FM4,FH5,cu,FM7,DLC,,,,,DLC,,,,5,XBO
2020 Porsche Taycan Turbo S,Porsche Taycan S,2020,Porsche,Taycan Turbo S,Autoshow,,Accolade,,185000,Common,,Super Saloons,Factory,S1,807,6.1,5.7,8.5,9.6,6,4.4,752,774,5121,6.81,49,0,E,,,R,AWD,305,Both,Forza,none,,,none,no,Europe,Germany,,,4,L,4,,,2.4,6,,171.4,94.3,245.7,0.95,0.97,3.6,11/5/2021,12,FH5,FH5,FH5,,,,,,,,,,,,1,XBO
2020 Porsche Taycan Turbo S 'Welcome Pack',Taycan S WP,2020,Porsche,Taycan Turbo S 'Welcome Pack',DLC Autoshow,FH5 Welcome Pack,,,185000,Common,,Super Saloons,Upgraded,S1,900,10,7.8,9.7,10,7.2,4.4,902,929,3858,4.28,49,0,E,,,R,AWD,305,Both,Forza,none,,,none,no,Europe,Germany,,,4,L,4,,,2.4,6,,268.3,85.7,206.3,1.21,1.31,3.6,11/5/2021,12,FH5,FH5,DLC,,,,,,,,,,,,1,XBO
2019 Porsche #4 Porsche Motorsport 718 Cayman GT4 Clubsport,#4 Cayman GT4 CS,2019,Porsche,#4 Porsche Motorsport 718 Cayman GT4 Clubsport,,,,,400000,,,Forza GT,Race,S,742,6.7,6.6,8.2,,6.5,,420,313,2910,6.93,44,,,,,M,RWD,270,,,none,,,none,,Europe,Germany,,,2,L,4,,,3.7,8.183,11.933,180.1,119,279.3,1.36,1.54,4.483,8/5/2019,10,FM7,FM7,,,cu,,,,,,,,,,1,XBO
2019 Porsche 911 Carrera S,Porsche 911 '19,2019,Porsche,911 Carrera S,Autoshow,,,,105000,Rare,,Modern Sports Cars,Factory,S1,819,7.4,7.4,6.4,6.9,7.9,4.5,444,391,3340,7.52,45,2981,TT,Flat,6,R,RWD,305,Both,Forza,"493, 691, 887",,,none,eng,Europe,Germany,911,,2,L,4,,,3.4,7.8,,203.3,124.5,299,1.09,1.23,4.4,1/14/2019,11,FH5,FH4,FH5,DLC,,,,,,,,,,,2,XBO
2019 Porsche 911 GT3 RS,911 GT3 RS '19,2019,Porsche,911 GT3 RS,Autoshow,,,,255000,Epic,,Track Toys,Factory,S1,860,7.2,8.4,7.4,7.6,8.2,4.4,514,346,3153,6.13,39,3996,NA,Flat,6,R,RWD,325,Yes,Forza,691,,,TT,stock,Europe,Germany,911,,2,L,4,,,3,6.9,11.217,215.3,108.4,257.5,1.27,1.53,3.9,,10,FH5,FM7,FH5,cu,cu,,,,,,,,,,3,XBO
2019 Porsche 911 GT3 RS Forza Edition,911 GT3 RS FE,2019,Porsche,911 GT3 RS Forza Edition,Car Collection,,,,255000,FE,Stunt Skills,Rally Monsters,Upgraded,S1,900,7,7,10,10,7.8,8.1,600,664,2844,4.74,44,3996,TT,Flat,6,R,AWD,335,no,Forza,none,,,none,stock,Europe,Germany,911,,2,L,4,,,3,6,,203.8,77.3,187.9,1.29,1.49,3,10/1/2018,12,FH5,FH5,FH5,,,,,,,,,,,,1,XBO
2019 Porsche Macan Turbo,Macan Turbo '19,2019,Porsche,Macan Turbo,Autoshow,,Accolade,,135000,Rare,,Sports Utility Heroes,Factory,B,695,6.2,4.9,5.8,9.4,4,6.3,434,405,4277,9.85,57,2894,TT,V,6,F,AWD,295,no,Forza,"510, 493, 602",,,none,eng,Europe,Germany,,,5,L,4,,,3.7,10.4,,172.4,144.3,358.4,0.89,0.88,6.7,8/27/2019,11,FH5,FH4,FH5,cu,,,,,,,,,,,2,XBO
2018 Porsche 718 Cayman GTS,Porsche 718 GTS,2018,Porsche,718 Cayman GTS,Autoshow,,,,90000,Epic,,Modern Sports Cars,Factory,A,785,6.8,7.3,6.4,7,5.6,4.4,361,317,3135,8.68,44,2497,T,Flat,4,M,RWD,265,Both,Forza,493 (34k),,,none,eng,Europe,Germany,,,2,L,4,,,3.614,8.7,,175.9,145.7,331.8,1.04,1.14,5.086,8/27/2019,11,FH5,FH4,FH5,cu,,,,,,,,,,,2,XBO
2018 Porsche 911 GT2 RS,911 GT2 RS '18,2018,Porsche,911 GT2 RS,Autoshow,,Loyalty (FM7),,315000,Epic,,Track Toys,Factory,S1,888,8,8.6,7.5,8.3,8.3,4.2,691,553,3197,4.63,40,3800,TT,Flat,6,R,RWD,325,no,Forza,750,,,none,no,Europe,Germany,911,,2,L,4,,FF,2.9,5.7,10.633,219.2,84.2,196.6,1.28,1.46,2.8,10/3/2017,10,FH5,FM7,FH5,FH4,FM7,,,,,,,,,,3,XBO
2018 Porsche Cayenne Turbo,Porsche Cayenne,2018,Porsche,Cayenne Turbo,Autoshow,,Accolade,,220000,Epic,,Sports Utility Heroes,Factory,A,744,6.7,5.3,7.4,9.8,6,5.9,550,567,4796,8.72,52,3996,TT,V,8,F,AWD,315,no,Forza,602,,,none,eng,Europe,Germany,,,5,L,4,,Heavy,3.7,9.5,11.933,182.3,133.9,330,0.93,0.94,5.8,,10,FH5,FM7,FH5,FH4,DLC,,,,,,,,,,3,XBO
2018 Porsche Macan LPR Rally Raid,Porsche Macan RR,2018,Porsche,Macan LPR Rally Raid,"WS, Seasonal",,,,250000,Epic,,Offroad,Race,B,637,5.1,3.9,4.7,4.6,4.7,10,360,442,4899,13.61,53,4950,NA,,,F,AWD,245,no,"Bars, Rally lights","475, 493, 805, 691, 850, 1750",,,PDS,,Europe,Germany,,,2,L,4,,,4.955,13.968,10.633,141.2,126.6,322.4,0.84,0.84,9.013,11/5/2021,12,FH5,FH5,FH5,,,,,,,,,,,,1,XBO
2017 Porsche #2 Porsche Team 919 Hybrid,#2 Porsche 919,2017,Porsche,#2 Porsche Team 919 Hybrid,,,,,,,,Forza P1,Race,X,999,7.8,8.7,10,,8.7,,755,923,1974,2.61,42,,T,V,4,M,AWD,310,,,none,,,none,no,Europe,Germany,,,2,L,4,,,3,4.8,9.15,207.8,83.6,185.2,1.67,2.37,1.8,10/3/2017,10,FM7,FM7,,,FM7,,,,,,,,,,1,XBO
2017 Porsche #92 Porsche GT Team 911 RSR,#92 Porsche RSR,2017,Porsche,#92 Porsche GT Team 911 RSR,,,,,,,,Forza GT,Race,R,829,6.8,6.9,9,,6.8,,503,340,2740,5.45,43,,NA,Flat,6,M,RWD,310,,,none,,,none,stock,Europe,Germany,,,2,L,4,,,4.3,7.48,10.9,185.5,114.7,261.5,1.43,1.6,3.18,12/5/2017,10,FM7,FM7,,,cu,,,,,,,,,,1,XBO
